对话ID,对话内容,说话人物-文件名,人物名,BGM,场景
DialogID,Content,Character,Name,BGM,Background
1001,呵，我知道怎么赢你，但我不说。,公输班-严肃,公输班,平常,宫殿
1002,我也知道你要怎么赢我，但我也不说。,墨子-平常,墨子,平常,宫殿
1003,两位就别在卖关子了，到底要怎么赢。,楚王-急切,楚王,平常,宫殿
1004,公输班的意思，不过是现在杀了我，这样宋国就没人守城了，他自然就赢了。,墨子-平常,墨子,平常,宫殿
1005,但我已派禽滑釐携弟子守城，即便你杀了我，你也照样攻不进宋国。,墨子-平常,墨子,平常,宫殿
1006,这样啊，真是好法子，那我便不攻宋国了。,楚王-乐,楚王,平常,宫殿
1007,离开楚国王庭，公输班留墨子于府上做客。,旁白,旁白,平常,公输班府邸
1008,时候不早了，吃过饭在我府上留宿一晚吧。,公输班-乐,公输班,平常,公输班府邸
1009,不必了，还是今天就启程吧，明年我在携我的书卷给楚王看。,墨子-平常,墨子,平常,公输班府邸
1010,你还要宣讲你那些道义吗？兼爱非攻，或许于平民有益，但君王显贵是不会理睬的。,公输班-感慨,公输班,平常,公输班府邸
1011,那也不尽然，丝麻米谷，都是平民做出来的东西，君王都要用，何况我那些道义呢。,墨子-感慨,墨子,平常,公输班府邸
1012,哈哈，好啊，同乡。但你要实现你的道义，可就砸了我的饭碗喽。,公输班-乐,公输班,平常,公输班府邸
1013,但总比砸了宋国所有百姓的饭碗好吧。,墨子-乐,墨子,平常,公输班府邸
1014,哈哈，好。看来我只能做些玩具生意了。欸，你看我这个机关鸟，只要一开，可飞三天咧。,公输班-乐,公输班,平常,公输班府邸
1015,是很精秒，但尚不及车轮，只需三寸木头便可载五十五石粮食。只要有益于人，便是精妙的。,墨子-感慨,墨子,平常,公输班府邸
1016,还是说不过你啊。,公输班-乐,公输班,平常,公输班府邸
1017,好了，时候也不早了，我们明年再见吧，墨某先告辞了。,墨子-平常,墨子,平常,公输班府邸
1018,公输班知墨子是留不住的，便目送他离开。待其走后，想了一想，便将云梯模型和机关鸟放进后屋箱子中。,旁白,旁白,平常,公输班府邸
