对话ID,对话内容,说话人物-文件名,人物名,BGM,场景
DialogID,Content,Character,Name,BGM,Background
1001,冰... 能生火？这是什么道法，二位真是活神仙啊！,村民C,村民丙,结束,山洞
1002,非是道术，乃天地之理。冰虽寒，聚光则生热，正如人心虽困，善念可破万难。,墨子,墨子,结束,山洞
1003,谢过二位恩人，这样应该能撑过今天了吧。但这乱世不结束，这样的日子不知何时是个头啊。,村民C,村民丙,结束,山洞
1004,先生，吾等正是为此奔行九州，如若诸侯采纳吾等兼爱非攻之理，定还天下太平。,墨子,墨子,结束,山洞
1005,到那时，钜子所传的自然之理定会派上更大的用途。,主角,禽滑釐,结束,山洞
1006,天下太平吗？鄙人真的有幸能见到那一天吗？,村民C,村民丙,结束,山洞
1007,钜子曾授“力，形之所以奋也”，此虽自然之理，仍可化用于今日。,主角,禽滑釐,结束,山洞
1008,当世之势犹如形，吾等便是那力。如吾等无所作为，此形不动，而今吾等奔走呼号，力虽浅，仍推形动。天下大势，终有尽时。,主角,禽滑釐,结束,山洞
1009,这，值此危难之际，有二位义士，国之幸也！,村民C,村民丙,结束,山洞
1010,风雪渐息，阳光照耀大地，一片雪白。,旁白,旁白,结束,山洞
1011,先生，就此别过，我们还富余些干粮，孩子还小，别让他饿着了。,主角,禽滑釐,结束,山洞
1012,蒙君相助，实感盛情，无以为谢，铭记于心！,村民C,村民丙,结束,山洞
