对话ID,对话内容,说话人物-文件名,人物名,BGM,场景
DialogID,Content,Character,Name,BGM,Background
1001,总算是赶上了，这雪下得可真大。,主角,主角,平静,山洞
1002,嗯？诸位是？,主角,主角,平静,山洞
1003,只见眼前似是一户人家，衣衫褴褛，那妇人怀中还抱着一个婴儿,旁白,旁白,平静,山洞
1004,二位先生有所不知，鄙人原先与妻住于柏丘，虽不甚富贵，倒也过得安定。,村民C,村民C,冲突,山洞
1005,谁知一天兵至，村子被付之一炬只得携妻儿逃难，行至此地，衣衫单薄 ，又遇此大雪，怕是挺不过去了。,村民C,村民C,冲突,山洞
1006,鄙人无才无德，令妻儿沦落至此，死不足惜，但恳请二位救救吾妻儿。鄙人愿长跪不起，以谢二位恩情。,村民C,村民C,冲突,山洞
1007,这位先生，快快请起。吾等不过一介游士，受不得此等大礼。,墨子,墨子,冲突,山洞
1008,对对对，钜子常教导我们“兼相爱，交相利。”，我们一定会鼎力相助。,主角,主角,冲突,山洞
1009,感谢二位义士。,村民C,村民C,冲突,山洞
1010,虽然答应了下来，但洞里既无阳燧，又有巨石避光，究竟该怎么取火。,主角,主角,平静,山洞
1011,子禽，你看，洞中积水已冻结成冰。,墨子,墨子,平静,山洞
1012,冰？,主角,主角,平静,冰面
1013,哦，我明白了。“景迎日，说在转。”我们可以以冰制镜取得日光，再仿照阳燧取火。,主角,主角,平静,冰面
1014,哈哈哈，孺子可教。,墨子,墨子,平静,冰面
1015,经过一番劳作，获得了冰平面镜与冰凸透镜。,旁白,旁白,平静,冰面
1016,好了，现在去生火吧。,主角,主角,平静,冰面
