对话ID,对话内容,说话人物-文件名,人物名,BGM,场景
DialogID,Content,Character,Name,BGM,Background
1001,墨子星夜兼程前往楚国国都，抵达之后，寻得公输班的住处。,旁白,旁白,平静,门口
1002,墨子拍着红铜的兽环，当当的敲了几下，不料开门出来的却是一个横眉怒目的门丁。,旁白,旁白,平静,门口
1003,先生恕不待客，你们这帮同乡来告帮的太多了！,门丁,门丁,平静,门口
1004,门随即关上，纵使墨子再次敲门也毫无音讯。虽拒绝了墨子，门丁仍觉得有所古怪，随即将此事报告给公输班。,旁白,旁白,平静,门口
1005,先生，门口有同乡求见，但是这人有些古怪…,门丁,门丁,平静,门口
1006,他叫什么？,公输班-平常,公输班,平静,门口
1007,没来得及问，这人像个乞丐，约莫三十岁，面色漆黑…,门丁,门丁,平静,门口
1008,哎呀，那一定便是墨翟了。,公输班-惊喜,公输班,平静,门口
1009,公输班听闻大喜，慌忙放下手中仪器，出门迎接墨子。,旁白,旁白,平静,门口
1010,果然是你，快请进。,公输班-惊喜,公输班,平静,门口
1011,先生此次来是有何事？,公输班-疑问,公输班,平静,门口
1012,北方有人侮辱了我，请你杀了他，我给你十块。,墨子-平常,墨子,平静,门口
1013,我向来是义不杀人的。,公输班-严肃,公输班,平静,门口
1014,那太好了，我听闻你制作了云梯要攻打宋国，你既然义不杀人，宋又有何罪过，楚国有的是土地与人民，何故不义攻打宋国？,墨子-问,墨子,平静,门口
1015,这倒是，可是我已经答应王了。,公输班-严肃,公输班,平静,门口
1016,那带我去便是了。,墨子-平常,墨子,平静,门口
1017,公输班将墨子引荐给了楚王。楚王早就听说北方有一位圣贤，经此引荐便很快接见了他。,旁白,旁白,平静,宫殿
1018,现在有一个人，不要轿车，却想偷邻家的破车子；不要锦绣，却想偷邻家的短毡袄；不要米肉，却想偷邻家的糠屑饭：这是怎样的人呢？,墨子-平常,墨子,平静,宫殿
1019,这一定是有偷窃病了。,楚王-平常,楚王,平静,宫殿
1020,楚地方五千里，宋却只方五百里，这就像轿车和破车；楚有云梦，满是犀兕麋鹿，江汉里的鱼鳖鼋鼍，远胜他地，宋却是所谓连雉兔鲫鱼也没有，这就像米肉的和糠屑饭；楚有长松文梓榆木豫章，宋却没有大树，这就像锦绣的和短毡袄。所以据臣看来，王此次攻宋，与此同类。,墨子-感慨,墨子,平静,宫殿
1021,倒是这样，但攻城器械早已备好，我的将士枕戈待旦，又有什么停下来的理由呢？,楚王-不解,楚王,平静,宫殿
1022,那就让我来演示一番吧，即使你有这些攻城器械，凭我墨家的守城技术，你也攻不下宋国。,墨子-平常,墨子,平静,宫殿
1023,哦？让我见识见识。,楚王-兴致,楚王,平静,宫殿
